,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
142,Bannock,16005001103,0.2769,0.2132,0.2242,0.7626,0.0659,52.4088742696739,,35.25000000000006,33.61497937173116,,3521.0
143,Bannock,16005001104,0.4418,0.2681,0.0725,0.8593,0.2527,48.68756796193928,,35.25000000000006,33.211891133929576,,2305.0
144,Bannock,16005001200,0.6022,0.6264,0.5451,0.7253,0.556,39.7070191510709,,35.25000000000006,34.26491424400927,108.43013297188695,2392.0
145,Bannock,16005001300,0.7736,0.8286,0.5231,0.844,0.8835,50.42513691448978,,34.57000000000005,34.21072147651011,102.19291859865194,2226.0
146,Bannock,16005001400,0.6571,0.756,0.5802,0.9319,0.6286,34.27500342389024,,35.33000000000004,34.10907343911969,106.66456634864399,3577.0
147,Bannock,16005001500,0.4198,0.5868,0.7231,0.7802,0.2879,53.58276427835917,,35.33000000000004,32.85189731256865,119.05554001551137,4182.0
148,Bannock,16005001601,0.4659,0.6857,0.6418,0.2088,0.9341,30.932868426187497,,36.27000000000004,34.87340993910825,102.19291859865194,2017.0
149,Bannock,16005001602,0.4989,0.5934,0.422,0.6088,0.6923,60.26103802723162,,36.27000000000004,34.377110473902434,102.37794038344038,3018.0
150,Bannock,16005001603,0.7648,0.6813,0.844,0.2967,0.6154,28.10469593095079,,35.610000000000014,34.686719030396745,102.20674622392488,2085.0
151,Bannock,16005001700,0.0593,0.4835,0.7209,0.6022,0.2967,71.58876812148176,,36.75000000000006,33.701601984173884,102.85389074052782,2730.0
152,Bannock,16005001900,0.2571,0.4505,0.4725,0.822,0.2681,66.98474476240676,,50.39000000000004,33.88312777240832,113.96884982447799,4016.0
153,Bannock,16005940000,0.9956,0.8484,0.4593,0.9187,0.8462,65.2659293657946,,46.85000000000002,29.25132306758767,,1642.0
154,Bannock,16005981800,0.5341,0.3165,0.0527,0.6198,0.5582,84.60458509494593,,36.610000000000014,27.71871971050647,,253.0
155,Bear Lake,16007950100,0.2571,0.7055,0.8505,0.6703,0.5626,51.364731337693485,,46.85000000000002,33.935697734945926,72.40869016822533,3175.0
156,Bear Lake,16007950200,0.0901,0.2637,0.3736,0.4835,0.2132,71.9969491549943,,40.35000000000002,29.908431064333044,76.48205990844444,2352.0
157,Benewah,16009940000,0.7407,0.8637,0.7341,0.8659,0.7692,88.65311979067437,,33.89000000000004,26.167354091631,,3831.0
158,Benewah,16009950100,0.0857,0.8176,0.9253,0.8176,0.6945,97.87100667249216,,37.13000000000005,23.106378508394968,347.1002910411881,4106.0
159,Bingham,16011940000,1.0,0.9516,0.6703,0.9582,0.9209,65.94895053276585,,48.370000000000005,32.73818850032103,,2279.0
160,Bingham,16011950101,0.3582,0.3055,0.2374,0.4286,0.356,95.82708504270376,,32.650000000000034,30.217200500987413,,2810.0
161,Bingham,16011950102,0.5626,0.5978,0.2901,0.7363,0.7429,91.24058513976036,,36.190000000000055,30.419138355776145,,3535.0
162,Bingham,16011950200,0.4945,0.3824,0.4813,0.6396,0.1956,91.46719175041544,,38.97000000000003,29.181457658059056,132.89876887853677,3017.0
163,Bingham,16011950300,0.967,0.8022,0.4264,0.9253,0.7385,33.7045889068201,,48.63000000000005,36.2451622537829,136.7759911157805,4631.0
164,Bingham,16011950400,0.6615,0.8308,0.8703,0.8967,0.5473,94.1406676314592,,36.43000000000001,30.557657551559828,120.9877302985941,5353.0
165,Bingham,16011950501,0.5846,0.411,0.4703,0.3341,0.3868,89.62529965162346,,33.190000000000055,29.41333723191399,,1921.0
166,Bingham,16011950502,0.8462,0.956,0.8637,0.989,0.822,84.7182293914216,,33.57000000000005,29.173479056026466,,4111.0
167,Bingham,16011950600,0.644,0.5604,0.5429,0.7341,0.4044,91.89543432688184,,36.63000000000005,29.938221883222567,124.85025069382563,4271.0
168,Bingham,16011950700,0.567,0.3868,0.3934,0.589,0.2637,93.21520342937914,,37.57000000000005,28.735379891641607,142.14120908963588,3751.0
169,Blaine,16013960101,0.9319,0.6418,0.1824,0.5648,0.9187,10.003818024403472,,53.910000000000025,36.09694694823357,,1226.0
170,Blaine,16013960102,0.589,0.3429,0.1736,0.6154,0.3385,30.328239057862632,,42.650000000000034,34.64389151010665,,2587.0
171,Blaine,16013960201,0.8527,0.8703,0.6154,0.9385,0.7714,54.20501771132676,,36.49000000000001,33.44762561553361,,4169.0
172,Blaine,16013960202,0.9187,0.4747,0.3385,0.4176,0.4901,49.64833531334544,,44.93000000000001,32.83740034661641,,3402.0
173,Blaine,16013960301,0.2242,0.0857,0.3231,0.1077,0.0418,25.327393364882315,,36.83000000000004,27.690494624951377,,1379.0
174,Blaine,16013960302,0.2857,0.3538,0.7121,0.4637,0.0857,31.232006737068723,,41.870000000000005,27.7381367271056,,1387.0
175,Blaine,16013960501,0.9429,0.7648,0.8681,0.1868,0.8088,42.04028540863711,,37.39000000000004,34.8434994237679,,1078.0
176,Blaine,16013960502,0.1978,0.0505,0.0857,0.3165,0.033,40.69787436995529,,38.650000000000034,30.04542880054673,,1104.0
177,Boise,16015950201,0.2418,0.0681,0.0615,0.2549,0.178,75.23954656379868,,41.09000000000003,26.834463988528466,,1566.0
178,Boise,16015950202,0.2264,0.4308,0.6571,0.3319,0.389,72.38459135299206,,39.07000000000005,25.550098517496565,,1511.0
179,Boise,16015950203,0.389,0.589,0.6967,0.4571,0.5407,82.30214933052447,,40.85000000000002,26.81745447326879,,2677.0
180,Bonner,16017950100,0.0396,0.5912,0.6264,0.3473,0.8132,83.71351065426117,,29.250000000000057,19.80012849000031,342.8092539627591,1839.0
181,Bonner,16017950201,0.0725,0.2769,0.189,0.2132,0.6725,98.76670512406696,,30.77000000000004,21.96797276732606,,2059.0
182,Bonner,16017950202,0.233,0.3604,0.5011,0.389,0.3099,84.86048424515403,,29.870000000000005,23.23708485490965,,1752.0
183,Bonner,16017950203,0.3143,0.7802,0.9802,0.5714,0.5253,52.5598462084025,,30.53000000000003,26.609715816954477,,2766.0
184,Bonner,16017950300,0.2857,0.6571,0.6286,0.4242,0.8286,25.511207291296,,29.430000000000007,26.327548761590844,305.78041848327666,2738.0
185,Bonner,16017950401,0.389,0.5648,0.3275,0.6769,0.7429,97.51546368277248,,28.05000000000001,20.619656813484635,,956.0
186,Bonner,16017950402,0.3341,0.7033,0.9011,0.5516,0.5341,85.51052994623831,,32.190000000000055,24.17547198329728,,2608.0
187,Bonner,16017950403,0.1187,0.4571,0.9055,0.2044,0.3011,58.582634763143936,,28.890000000000043,25.878839563953115,,1735.0
188,Bonner,16017950500,0.0484,0.8066,0.8066,0.8879,0.7319,82.89602074436388,,32.190000000000055,24.663512786238496,330.6032226537447,2576.0
189,Bonner,16017950600,0.0989,0.1516,0.222,0.2154,0.2352,90.072272178514,,30.150000000000038,21.50690489322188,320.21174405026227,1505.0
190,Bonner,16017950701,0.2549,0.4945,0.4396,0.3802,0.7165,79.63793903811126,,32.110000000000014,25.24712016048688,,2193.0
191,Bonner,16017950702,0.1121,0.6725,0.7429,0.6813,0.6462,79.31153437972036,,35.81,25.31398765816725,,1260.0
